Area_Locality,Society_Name,Numeric_Price,Title,BHK
Madambakkam,Adambakkam Apartment,5000000,2 BHK Apartment for Sale in Madambakkam Chennai,2
Gerugambakkam,Tvh Ouranya Bay,9500000,2 BHK Builder Floor for Sale in Gerugambakkam Chennai,2
Kovur,Sreerosh Sree Nandan,12000000,3 BHK Apartment for Sale in Kovur Chennai,3
Perumbakkam,Sare Homes,11200000,3 BHK Apartment for Sale in Perumbakkam Chennai,3
Padur,Swaraj Apartment,9000000,3 BHK Apartment for Sale in Padur Chennai,3
Saligramam,Sowparnika,15000000,3 BHK Apartment for Sale in Saligramam Chennai,3
Guindy,Vesta Showers,41800000,2 BHK Apartment for Sale in Guindy Chennai,2
Manapakkam,Navins Starwood Towers 2.0,9500000,2 BHK Apartment for Sale in Manapakkam Chennai,2
Ambattur,Rmr Habitat,6400000,2 BHK Apartment for Sale in Ambattur Chennai,2
Madambakkam,Tulip,4400000,2 BHK Apartment for Sale in Madambakkam Chennai,2
Vadapalani,Bscpl Bollineni Zion,8900000,2 BHK Apartment for Sale in Vadapalani Chennai,2
Koyambedu,Navins Starwood Towers 2.0,12500000,3 BHK Apartment for Sale in Koyambedu Chennai,3
Kilpauk,Asvini Atvarika,16399999,3 BHK Apartment for Sale in Kilpauk Chennai,3
Pallavaram,Rk Home,10500000,3 BHK Apartment for Sale in Pallavaram Chennai,3
Perumbakkam,Akb Astabandhan,5000000,2 BHK Apartment for Sale in Perumbakkam Chennai,2
Manapakkam,Skyline Cornerstone,17500000,3 BHK Apartment for Sale in Manapakkam Chennai,3
Velachery,Ashirvaadh Homes,8200000,2 BHK Builder Floor for Sale in Velachery Chennai,2
Pallikaranai,Ps Lml Eterna,4800000,2 BHK Apartment for Sale in Pallikaranai Chennai,2
Ayanambakkam,Osian Chlorophyll,7500000,2 BHK Apartment for Sale in Ayanambakkam Chennai,2
Guduvancheri,Avenue Majestic,4600000,2 BHK Apartment for Sale in Guduvancheri Chennai,2
Avadi,Park Avenue,4000000,2 BHK Apartment for Sale in Avadi Chennai,2
Tambaram West Tambaram,Casagrand Athens,4900000,2 BHK Apartment for Sale in Tambaram West Tambaram Chennai,2
Thiruvanmiyur,Keshav Dugar Apartment,14000000,3 BHK Apartment for Sale in Thiruvanmiyur Chennai,3
Ayanavaram,Casagrand Tudor,13000000,3 BHK Apartment for Sale in Ayanavaram Chennai,3
Mevalurkuppam,Ruby Landmark,2800000,2 BHK Apartment for Sale in Mevalurkuppam Chennai,2
Medavakkam,Dra Truliv Navalur,9000000,3 BHK Apartment for Sale in Medavakkam Chennai,3
Selaiyur,Real Value Neel Kamal,5000000,2 BHK Apartment for Sale in Selaiyur Chennai,2
Tiruvottiyur,Dabc Aishwaryam Phase Ii,15500000,3 BHK Apartment for Sale in Tiruvottiyur Chennai,3
Mappedu,Kg Centre Point,4500000,2 BHK Apartment for Sale in Mappedu Chennai,2
Kamaraj Nagar Perungudi,Sis Safaa,9900000,2 BHK Apartment for Sale in Kamaraj Nagar Perungudi Chennai,2
Madambakkam,Ramaniyam Citadel,6300000,3 BHK Apartment for Sale in Madambakkam Chennai,3
Vrx Exurb,Vesta Sri Ram,2500000,2 BHK Apartment for Sale in Vrx exurb Chennai,2
